nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 130,886,629 (109,101,061 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 75/295 ( 25.4%) | Running MAE: 11074.36
  Epoch   1/100 | Batch 76/295 ( 25.8%) | Running MAE: 10929.18
  Epoch   1/100 | Batch 77/295 ( 26.1%) | Running MAE: 10788.05
  Epoch   1/100 | Batch 78/295 ( 26.4%) | Running MAE: 10650.36
  Epoch   1/100 | Batch 79/295 ( 26.8%) | Running MAE: 10516.21
  Epoch   1/100 | Batch 80/295 ( 27.1%) | Running MAE: 10385.32
  Epoch   1/100 | Batch 81/295 ( 27.5%) | Running MAE: 10257.75
  Epoch   1/100 | Batch 82/295 ( 27.8%) | Running MAE: 10133.20
  Epoch   1/100 | Batch 83/295 ( 28.1%) | Running MAE: 10012.02
  Epoch   1/100 | Batch 84/295 ( 28.5%) | Running MAE: 9893.48
  Epoch   1/100 | Batch 85/295 ( 28.8%) | Running MAE: 9777.48
  Epoch   1/100 | Batch 86/295 ( 29.2%) | Running MAE: 9664.40
  Epoch   1/100 | Batch 87/295 ( 29.5%) | Running MAE: 9553.93
  Epoch   1/100 | Batch 88/295 ( 29.8%) | Running MAE: 9446.40
  Epoch   1/100 | Batch 89/295 ( 30.2%) | Running MAE: 9340.90
  Epoch   1/100 | Batch 90/295 ( 30.5%) | Running MAE: 9237.79
  Epoch   1/100 | Batch 91/295 ( 30.8%) | Running MAE: 9136.83
  Epoch   1/100 | Batch 92/295 ( 31.2%) | Running MAE: 9037.97
  Epoch   1/100 | Batch 93/295 ( 31.5%) | Running MAE: 8941.30
  Epoch   1/100 | Batch 94/295 ( 31.9%) | Running MAE: 8847.02
  Epoch   1/100 | Batch 95/295 ( 32.2%) | Running MAE: 8754.63
  Epoch   1/100 | Batch 96/295 ( 32.5%) | Running MAE: 8664.00
  Epoch   1/100 | Batch 97/295 ( 32.9%) | Running MAE: 8575.19
  Epoch   1/100 | Batch 98/295 ( 33.2%) | Running MAE: 8488.17
  Epoch   1/100 | Batch 99/295 ( 33.6%) | Running MAE: 8403.04
  Epoch   1/100 | Batch 100/295 ( 33.9%) | Running MAE: 8319.54
  Epoch   1/100 | Batch 101/295 ( 34.2%) | Running MAE: 8237.77
  Epoch   1/100 | Batch 102/295 ( 34.6%) | Running MAE: 8157.56
  Epoch   1/100 | Batch 103/295 ( 34.9%) | Running MAE: 8078.93
  Epoch   1/100 | Batch 104/295 ( 35.3%) | Running MAE: 8001.83
  Epoch   1/100 | Batch 105/295 ( 35.6%) | Running MAE: 7926.14
  Epoch   1/100 | Batch 106/295 ( 35.9%) | Running MAE: 7851.91
  Epoch   1/100 | Batch 107/295 ( 36.3%) | Running MAE: 7779.12
  Epoch   1/100 | Batch 108/295 ( 36.6%) | Running MAE: 7707.56
  Epoch   1/100 | Batch 109/295 ( 36.9%) | Running MAE: 7637.35
  Epoch   1/100 | Batch 110/295 ( 37.3%) | Running MAE: 7568.55
  Epoch   1/100 | Batch 111/295 ( 37.6%) | Running MAE: 7500.76
  Epoch   1/100 | Batch 112/295 ( 38.0%) | Running MAE: 7434.36
  Epoch   1/100 | Batch 113/295 ( 38.3%) | Running MAE: 7369.13
  Epoch   1/100 | Batch 114/295 ( 38.6%) | Running MAE: 7304.93
  Epoch   1/100 | Batch 115/295 ( 39.0%) | Running MAE: 7241.98
  Epoch   1/100 | Batch 116/295 ( 39.3%) | Running MAE: 7180.01
  Epoch   1/100 | Batch 117/295 ( 39.7%) | Running MAE: 7119.07
  Epoch   1/100 | Batch 118/295 ( 40.0%) | Running MAE: 7059.11
  Epoch   1/100 | Batch 119/295 ( 40.3%) | Running MAE: 7000.19
  Epoch   1/100 | Batch 120/295 ( 40.7%) | Running MAE: 6942.29
  Epoch   1/100 | Batch 121/295 ( 41.0%) | Running MAE: 6885.37
  Epoch   1/100 | Batch 122/295 ( 41.4%) | Running MAE: 6829.36
  Epoch   1/100 | Batch 123/295 ( 41.7%) | Running MAE: 6774.30
  Epoch   1/100 | Batch 124/295 ( 42.0%) | Running MAE: 6720.11
  Epoch   1/100 | Batch 125/295 ( 42.4%) | Running MAE: 6666.73
  Epoch   1/100 | Batch 126/295 ( 42.7%) | Running MAE: 6614.35
  Epoch   1/100 | Batch 127/295 ( 43.1%) | Running MAE: 6562.71
  Epoch   1/100 | Batch 128/295 ( 43.4%) | Running MAE: 6511.84
  Epoch   1/100 | Batch 129/295 ( 43.7%) | Running MAE: 6461.91
