nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 130,903,013 (109,117,445 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 75/295 ( 25.4%) | Running MAE: 9804.86
  Epoch   1/100 | Batch 76/295 ( 25.8%) | Running MAE: 9676.69
  Epoch   1/100 | Batch 77/295 ( 26.1%) | Running MAE: 9551.69
  Epoch   1/100 | Batch 78/295 ( 26.4%) | Running MAE: 9429.90
  Epoch   1/100 | Batch 79/295 ( 26.8%) | Running MAE: 9311.23
  Epoch   1/100 | Batch 80/295 ( 27.1%) | Running MAE: 9195.57
  Epoch   1/100 | Batch 81/295 ( 27.5%) | Running MAE: 9082.73
  Epoch   1/100 | Batch 82/295 ( 27.8%) | Running MAE: 8972.72
  Epoch   1/100 | Batch 83/295 ( 28.1%) | Running MAE: 8865.15
  Epoch   1/100 | Batch 84/295 ( 28.5%) | Running MAE: 8760.22
  Epoch   1/100 | Batch 85/295 ( 28.8%) | Running MAE: 8657.77
  Epoch   1/100 | Batch 86/295 ( 29.2%) | Running MAE: 8557.78
  Epoch   1/100 | Batch 87/295 ( 29.5%) | Running MAE: 8460.16
  Epoch   1/100 | Batch 88/295 ( 29.8%) | Running MAE: 8364.81
  Epoch   1/100 | Batch 89/295 ( 30.2%) | Running MAE: 8271.53
  Epoch   1/100 | Batch 90/295 ( 30.5%) | Running MAE: 8180.22
  Epoch   1/100 | Batch 91/295 ( 30.8%) | Running MAE: 8091.00
  Epoch   1/100 | Batch 92/295 ( 31.2%) | Running MAE: 8003.72
  Epoch   1/100 | Batch 93/295 ( 31.5%) | Running MAE: 7918.24
  Epoch   1/100 | Batch 94/295 ( 31.9%) | Running MAE: 7834.78
  Epoch   1/100 | Batch 95/295 ( 32.2%) | Running MAE: 7752.95
  Epoch   1/100 | Batch 96/295 ( 32.5%) | Running MAE: 7672.81
  Epoch   1/100 | Batch 97/295 ( 32.9%) | Running MAE: 7594.32
  Epoch   1/100 | Batch 98/295 ( 33.2%) | Running MAE: 7517.49
  Epoch   1/100 | Batch 99/295 ( 33.6%) | Running MAE: 7442.18
  Epoch   1/100 | Batch 100/295 ( 33.9%) | Running MAE: 7368.49
  Epoch   1/100 | Batch 101/295 ( 34.2%) | Running MAE: 7296.24
  Epoch   1/100 | Batch 102/295 ( 34.6%) | Running MAE: 7225.45
  Epoch   1/100 | Batch 103/295 ( 34.9%) | Running MAE: 7156.20
  Epoch   1/100 | Batch 104/295 ( 35.3%) | Running MAE: 7087.91
  Epoch   1/100 | Batch 105/295 ( 35.6%) | Running MAE: 7021.03
  Epoch   1/100 | Batch 106/295 ( 35.9%) | Running MAE: 6955.31
  Epoch   1/100 | Batch 107/295 ( 36.3%) | Running MAE: 6890.78
  Epoch   1/100 | Batch 108/295 ( 36.6%) | Running MAE: 6827.48
  Epoch   1/100 | Batch 109/295 ( 36.9%) | Running MAE: 6765.24
  Epoch   1/100 | Batch 110/295 ( 37.3%) | Running MAE: 6704.25
  Epoch   1/100 | Batch 111/295 ( 37.6%) | Running MAE: 6644.52
  Epoch   1/100 | Batch 112/295 ( 38.0%) | Running MAE: 6585.71
  Epoch   1/100 | Batch 113/295 ( 38.3%) | Running MAE: 6528.18
  Epoch   1/100 | Batch 114/295 ( 38.6%) | Running MAE: 6471.37
  Epoch   1/100 | Batch 115/295 ( 39.0%) | Running MAE: 6415.62
  Epoch   1/100 | Batch 116/295 ( 39.3%) | Running MAE: 6360.83
  Epoch   1/100 | Batch 117/295 ( 39.7%) | Running MAE: 6306.96
  Epoch   1/100 | Batch 118/295 ( 40.0%) | Running MAE: 6253.98
  Epoch   1/100 | Batch 119/295 ( 40.3%) | Running MAE: 6201.88
  Epoch   1/100 | Batch 120/295 ( 40.7%) | Running MAE: 6150.71
  Epoch   1/100 | Batch 121/295 ( 41.0%) | Running MAE: 6100.43
  Epoch   1/100 | Batch 122/295 ( 41.4%) | Running MAE: 6050.74
  Epoch   1/100 | Batch 123/295 ( 41.7%) | Running MAE: 6002.00
  Epoch   1/100 | Batch 124/295 ( 42.0%) | Running MAE: 5954.06
  Epoch   1/100 | Batch 125/295 ( 42.4%) | Running MAE: 5906.93
  Epoch   1/100 | Batch 126/295 ( 42.7%) | Running MAE: 5860.62
  Epoch   1/100 | Batch 127/295 ( 43.1%) | Running MAE: 5814.87
  Epoch   1/100 | Batch 128/295 ( 43.4%) | Running MAE: 5769.89
  Epoch   1/100 | Batch 129/295 ( 43.7%) | Running MAE: 5725.52
  Epoch   1/100 | Batch 130/295 ( 44.1%) | Running MAE: 5681.89
  Epoch   1/100 | Batch 131/295 ( 44.4%) | Running MAE: 5638.96
  Epoch   1/100 | Batch 132/295 ( 44.7%) | Running MAE: 5596.71
  Epoch   1/100 | Batch 133/295 ( 45.1%) | Running MAE: 5555.06
  Epoch   1/100 | Batch 134/295 ( 45.4%) | Running MAE: 5514.46
  Epoch   1/100 | Batch 135/295 ( 45.8%) | Running MAE: 5474.10
  Epoch   1/100 | Batch 136/295 ( 46.1%) | Running MAE: 5434.26
  Epoch   1/100 | Batch 137/295 ( 46.4%) | Running MAE: 5394.99
  Epoch   1/100 | Batch 138/295 ( 46.8%) | Running MAE: 5356.68
  Epoch   1/100 | Batch 139/295 ( 47.1%) | Running MAE: 5318.47
  Epoch   1/100 | Batch 140/295 ( 47.5%) | Running MAE: 5280.85
  Epoch   1/100 | Batch 141/295 ( 47.8%) | Running MAE: 5243.87
  Epoch   1/100 | Batch 142/295 ( 48.1%) | Running MAE: 5207.42
  Epoch   1/100 | Batch 143/295 ( 48.5%) | Running MAE: 5171.55
  Epoch   1/100 | Batch 144/295 ( 48.8%) | Running MAE: 5136.00
  Epoch   1/100 | Batch 145/295 ( 49.2%) | Running MAE: 5100.85
  Epoch   1/100 | Batch 146/295 ( 49.5%) | Running MAE: 5066.26
  Epoch   1/100 | Batch 147/295 ( 49.8%) | Running MAE: 5032.26
  Epoch   1/100 | Batch 148/295 ( 50.2%) | Running MAE: 4998.66
  Epoch   1/100 | Batch 149/295 ( 50.5%) | Running MAE: 4965.51
  Epoch   1/100 | Batch 150/295 ( 50.8%) | Running MAE: 4932.84
  Epoch   1/100 | Batch 151/295 ( 51.2%) | Running MAE: 4900.50
  Epoch   1/100 | Batch 152/295 ( 51.5%) | Running MAE: 4868.78
  Epoch   1/100 | Batch 153/295 ( 51.9%) | Running MAE: 4837.32
  Epoch   1/100 | Batch 154/295 ( 52.2%) | Running MAE: 4806.26
  Epoch   1/100 | Batch 155/295 ( 52.5%) | Running MAE: 4775.95
  Epoch   1/100 | Batch 156/295 ( 52.9%) | Running MAE: 4745.65
  Epoch   1/100 | Batch 157/295 ( 53.2%) | Running MAE: 4715.71
  Epoch   1/100 | Batch 158/295 ( 53.6%) | Running MAE: 4686.25
  Epoch   1/100 | Batch 159/295 ( 53.9%) | Running MAE: 4657.05
  Epoch   1/100 | Batch 160/295 ( 54.2%) | Running MAE: 4628.31
  Epoch   1/100 | Batch 161/295 ( 54.6%) | Running MAE: 4599.89
  Epoch   1/100 | Batch 162/295 ( 54.9%) | Running MAE: 4571.83
  Epoch   1/100 | Batch 163/295 ( 55.3%) | Running MAE: 4544.13
  Epoch   1/100 | Batch 164/295 ( 55.6%) | Running MAE: 4516.85
  Epoch   1/100 | Batch 165/295 ( 55.9%) | Running MAE: 4489.89
  Epoch   1/100 | Batch 166/295 ( 56.3%) | Running MAE: 4463.20
  Epoch   1/100 | Batch 167/295 ( 56.6%) | Running MAE: 4436.80
  Epoch   1/100 | Batch 168/295 ( 56.9%) | Running MAE: 4410.67
  Epoch   1/100 | Batch 169/295 ( 57.3%) | Running MAE: 4384.88
  Epoch   1/100 | Batch 170/295 ( 57.6%) | Running MAE: 4359.36
  Epoch   1/100 | Batch 171/295 ( 58.0%) | Running MAE: 4334.16
  Epoch   1/100 | Batch 172/295 ( 58.3%) | Running MAE: 4309.33
  Epoch   1/100 | Batch 173/295 ( 58.6%) | Running MAE: 4284.77
  Epoch   1/100 | Batch 174/295 ( 59.0%) | Running MAE: 4260.76
  Epoch   1/100 | Batch 175/295 ( 59.3%) | Running MAE: 4236.76
  Epoch   1/100 | Batch 176/295 ( 59.7%) | Running MAE: 4213.06
  Epoch   1/100 | Batch 177/295 ( 60.0%) | Running MAE: 4189.50
  Epoch   1/100 | Batch 178/295 ( 60.3%) | Running MAE: 4166.37
  Epoch   1/100 | Batch 179/295 ( 60.7%) | Running MAE: 4143.40
  Epoch   1/100 | Batch 180/295 ( 61.0%) | Running MAE: 4120.65
  Epoch   1/100 | Batch 181/295 ( 61.4%) | Running MAE: 4098.18
  Epoch   1/100 | Batch 182/295 ( 61.7%) | Running MAE: 4075.91
  Epoch   1/100 | Batch 183/295 ( 62.0%) | Running MAE: 4053.89
  Epoch   1/100 | Batch 184/295 ( 62.4%) | Running MAE: 4032.09
  Epoch   1/100 | Batch 185/295 ( 62.7%) | Running MAE: 4010.53
  Epoch   1/100 | Batch 186/295 ( 63.1%) | Running MAE: 3989.19
  Epoch   1/100 | Batch 187/295 ( 63.4%) | Running MAE: 3968.15
  Epoch   1/100 | Batch 188/295 ( 63.7%) | Running MAE: 3947.33
  Epoch   1/100 | Batch 189/295 ( 64.1%) | Running MAE: 3926.90
  Epoch   1/100 | Batch 190/295 ( 64.4%) | Running MAE: 3906.45
  Epoch   1/100 | Batch 191/295 ( 64.7%) | Running MAE: 3886.22
  Epoch   1/100 | Batch 192/295 ( 65.1%) | Running MAE: 3866.24
  Epoch   1/100 | Batch 193/295 ( 65.4%) | Running MAE: 3846.47
  Epoch   1/100 | Batch 194/295 ( 65.8%) | Running MAE: 3826.86
  Epoch   1/100 | Batch 195/295 ( 66.1%) | Running MAE: 3807.56
  Epoch   1/100 | Batch 196/295 ( 66.4%) | Running MAE: 3788.56
  Epoch   1/100 | Batch 197/295 ( 66.8%) | Running MAE: 3769.62
  Epoch   1/100 | Batch 198/295 ( 67.1%) | Running MAE: 3750.83
  Epoch   1/100 | Batch 199/295 ( 67.5%) | Running MAE: 3732.31
  Epoch   1/100 | Batch 200/295 ( 67.8%) | Running MAE: 3713.92
  Epoch   1/100 | Batch 201/295 ( 68.1%) | Running MAE: 3695.74
  Epoch   1/100 | Batch 202/295 ( 68.5%) | Running MAE: 3677.71
  Epoch   1/100 | Batch 203/295 ( 68.8%) | Running MAE: 3659.94
  Epoch   1/100 | Batch 204/295 ( 69.2%) | Running MAE: 3642.25
  Epoch   1/100 | Batch 205/295 ( 69.5%) | Running MAE: 3624.78
  Epoch   1/100 | Batch 206/295 ( 69.8%) | Running MAE: 3607.44
  Epoch   1/100 | Batch 207/295 ( 70.2%) | Running MAE: 3590.32
  Epoch   1/100 | Batch 208/295 ( 70.5%) | Running MAE: 3573.32
  Epoch   1/100 | Batch 209/295 ( 70.8%) | Running MAE: 3556.54
  Epoch   1/100 | Batch 210/295 ( 71.2%) | Running MAE: 3539.89
  Epoch   1/100 | Batch 211/295 ( 71.5%) | Running MAE: 3523.40
  Epoch   1/100 | Batch 212/295 ( 71.9%) | Running MAE: 3507.07
  Epoch   1/100 | Batch 213/295 ( 72.2%) | Running MAE: 3490.82
  Epoch   1/100 | Batch 214/295 ( 72.5%) | Running MAE: 3474.82
  Epoch   1/100 | Batch 215/295 ( 72.9%) | Running MAE: 3458.93
  Epoch   1/100 | Batch 216/295 ( 73.2%) | Running MAE: 3443.18
  Epoch   1/100 | Batch 217/295 ( 73.6%) | Running MAE: 3427.55
  Epoch   1/100 | Batch 218/295 ( 73.9%) | Running MAE: 3412.04
  Epoch   1/100 | Batch 219/295 ( 74.2%) | Running MAE: 3396.73
  Epoch   1/100 | Batch 220/295 ( 74.6%) | Running MAE: 3381.50
  Epoch   1/100 | Batch 221/295 ( 74.9%) | Running MAE: 3366.42
  Epoch   1/100 | Batch 222/295 ( 75.3%) | Running MAE: 3351.53
  Epoch   1/100 | Batch 223/295 ( 75.6%) | Running MAE: 3336.74
  Epoch   1/100 | Batch 224/295 ( 75.9%) | Running MAE: 3322.06
  Epoch   1/100 | Batch 225/295 ( 76.3%) | Running MAE: 3307.54
  Epoch   1/100 | Batch 226/295 ( 76.6%) | Running MAE: 3293.19
  Epoch   1/100 | Batch 227/295 ( 76.9%) | Running MAE: 3278.90
  Epoch   1/100 | Batch 228/295 ( 77.3%) | Running MAE: 3264.77
  Epoch   1/100 | Batch 229/295 ( 77.6%) | Running MAE: 3250.71
  Epoch   1/100 | Batch 230/295 ( 78.0%) | Running MAE: 3236.80
  Epoch   1/100 | Batch 231/295 ( 78.3%) | Running MAE: 3223.03
  Epoch   1/100 | Batch 232/295 ( 78.6%) | Running MAE: 3209.39
  Epoch   1/100 | Batch 233/295 ( 79.0%) | Running MAE: 3195.87
  Epoch   1/100 | Batch 234/295 ( 79.3%) | Running MAE: 3182.47
  Epoch   1/100 | Batch 235/295 ( 79.7%) | Running MAE: 3169.20
  Epoch   1/100 | Batch 236/295 ( 80.0%) | Running MAE: 3155.96
  Epoch   1/100 | Batch 237/295 ( 80.3%) | Running MAE: 3142.86
  Epoch   1/100 | Batch 238/295 ( 80.7%) | Running MAE: 3129.90
  Epoch   1/100 | Batch 239/295 ( 81.0%) | Running MAE: 3117.07
  Epoch   1/100 | Batch 240/295 ( 81.4%) | Running MAE: 3104.28
  Epoch   1/100 | Batch 241/295 ( 81.7%) | Running MAE: 3091.57
  Epoch   1/100 | Batch 242/295 ( 82.0%) | Running MAE: 3079.09
  Epoch   1/100 | Batch 243/295 ( 82.4%) | Running MAE: 3066.62
  Epoch   1/100 | Batch 244/295 ( 82.7%) | Running MAE: 3054.29
  Epoch   1/100 | Batch 245/295 ( 83.1%) | Running MAE: 3042.06
  Epoch   1/100 | Batch 246/295 ( 83.4%) | Running MAE: 3029.94
  Epoch   1/100 | Batch 247/295 ( 83.7%) | Running MAE: 3017.92
  Epoch   1/100 | Batch 248/295 ( 84.1%) | Running MAE: 3006.17
  Epoch   1/100 | Batch 249/295 ( 84.4%) | Running MAE: 2994.58
  Epoch   1/100 | Batch 250/295 ( 84.7%) | Running MAE: 2982.74
  Epoch   1/100 | Batch 251/295 ( 85.1%) | Running MAE: 2971.08
  Epoch   1/100 | Batch 252/295 ( 85.4%) | Running MAE: 2959.44
  Epoch   1/100 | Batch 253/295 ( 85.8%) | Running MAE: 2947.96
  Epoch   1/100 | Batch 254/295 ( 86.1%) | Running MAE: 2936.56
  Epoch   1/100 | Batch 255/295 ( 86.4%) | Running MAE: 2925.23
  Epoch   1/100 | Batch 256/295 ( 86.8%) | Running MAE: 2914.02
  Epoch   1/100 | Batch 257/295 ( 87.1%) | Running MAE: 2902.87
  Epoch   1/100 | Batch 258/295 ( 87.5%) | Running MAE: 2891.81
  Epoch   1/100 | Batch 259/295 ( 87.8%) | Running MAE: 2880.84
  Epoch   1/100 | Batch 260/295 ( 88.1%) | Running MAE: 2869.96
  Epoch   1/100 | Batch 261/295 ( 88.5%) | Running MAE: 2859.21
  Epoch   1/100 | Batch 262/295 ( 88.8%) | Running MAE: 2848.51
  Epoch   1/100 | Batch 263/295 ( 89.2%) | Running MAE: 2837.87
  Epoch   1/100 | Batch 264/295 ( 89.5%) | Running MAE: 2827.33
  Epoch   1/100 | Batch 265/295 ( 89.8%) | Running MAE: 2816.85
  Epoch   1/100 | Batch 266/295 ( 90.2%) | Running MAE: 2806.49
  Epoch   1/100 | Batch 267/295 ( 90.5%) | Running MAE: 2796.29
  Epoch   1/100 | Batch 268/295 ( 90.8%) | Running MAE: 2786.04
  Epoch   1/100 | Batch 269/295 ( 91.2%) | Running MAE: 2775.84
  Epoch   1/100 | Batch 270/295 ( 91.5%) | Running MAE: 2765.76
  Epoch   1/100 | Batch 271/295 ( 91.9%) | Running MAE: 2755.78
  Epoch   1/100 | Batch 272/295 ( 92.2%) | Running MAE: 2745.85
  Epoch   1/100 | Batch 273/295 ( 92.5%) | Running MAE: 2736.02
  Epoch   1/100 | Batch 274/295 ( 92.9%) | Running MAE: 2726.21
  Epoch   1/100 | Batch 275/295 ( 93.2%) | Running MAE: 2716.47
  Epoch   1/100 | Batch 276/295 ( 93.6%) | Running MAE: 2706.81
