nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 65,860,585 (44,075,017 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 75/295 ( 25.4%) | Running MAE: 1960.34
  Epoch   1/100 | Batch 76/295 ( 25.8%) | Running MAE: 1935.24
  Epoch   1/100 | Batch 77/295 ( 26.1%) | Running MAE: 1910.87
  Epoch   1/100 | Batch 78/295 ( 26.4%) | Running MAE: 1886.85
  Epoch   1/100 | Batch 79/295 ( 26.8%) | Running MAE: 1863.65
  Epoch   1/100 | Batch 80/295 ( 27.1%) | Running MAE: 1840.78
  Epoch   1/100 | Batch 81/295 ( 27.5%) | Running MAE: 1818.62
  Epoch   1/100 | Batch 82/295 ( 27.8%) | Running MAE: 1796.96
  Epoch   1/100 | Batch 83/295 ( 28.1%) | Running MAE: 1775.75
  Epoch   1/100 | Batch 84/295 ( 28.5%) | Running MAE: 1755.28
  Epoch   1/100 | Batch 85/295 ( 28.8%) | Running MAE: 1735.17
  Epoch   1/100 | Batch 86/295 ( 29.2%) | Running MAE: 1715.58
  Epoch   1/100 | Batch 87/295 ( 29.5%) | Running MAE: 1696.39
  Epoch   1/100 | Batch 88/295 ( 29.8%) | Running MAE: 1677.73
  Epoch   1/100 | Batch 89/295 ( 30.2%) | Running MAE: 1659.75
  Epoch   1/100 | Batch 90/295 ( 30.5%) | Running MAE: 1641.78
  Epoch   1/100 | Batch 91/295 ( 30.8%) | Running MAE: 1624.38
  Epoch   1/100 | Batch 92/295 ( 31.2%) | Running MAE: 1607.52
  Epoch   1/100 | Batch 93/295 ( 31.5%) | Running MAE: 1590.96
  Epoch   1/100 | Batch 94/295 ( 31.9%) | Running MAE: 1574.47
  Epoch   1/100 | Batch 95/295 ( 32.2%) | Running MAE: 1558.51
  Epoch   1/100 | Batch 96/295 ( 32.5%) | Running MAE: 1542.87
  Epoch   1/100 | Batch 97/295 ( 32.9%) | Running MAE: 1527.45
  Epoch   1/100 | Batch 98/295 ( 33.2%) | Running MAE: 1512.37
  Epoch   1/100 | Batch 99/295 ( 33.6%) | Running MAE: 1497.51
  Epoch   1/100 | Batch 100/295 ( 33.9%) | Running MAE: 1483.17
  Epoch   1/100 | Batch 101/295 ( 34.2%) | Running MAE: 1469.11
  Epoch   1/100 | Batch 102/295 ( 34.6%) | Running MAE: 1455.75
  Epoch   1/100 | Batch 103/295 ( 34.9%) | Running MAE: 1442.15
  Epoch   1/100 | Batch 104/295 ( 35.3%) | Running MAE: 1428.76
  Epoch   1/100 | Batch 105/295 ( 35.6%) | Running MAE: 1415.82
  Epoch   1/100 | Batch 106/295 ( 35.9%) | Running MAE: 1402.92
  Epoch   1/100 | Batch 107/295 ( 36.3%) | Running MAE: 1390.24
  Epoch   1/100 | Batch 108/295 ( 36.6%) | Running MAE: 1377.94
  Epoch   1/100 | Batch 109/295 ( 36.9%) | Running MAE: 1365.90
  Epoch   1/100 | Batch 110/295 ( 37.3%) | Running MAE: 1353.92
  Epoch   1/100 | Batch 111/295 ( 37.6%) | Running MAE: 1342.13
  Epoch   1/100 | Batch 112/295 ( 38.0%) | Running MAE: 1330.55
  Epoch   1/100 | Batch 113/295 ( 38.3%) | Running MAE: 1319.30
  Epoch   1/100 | Batch 114/295 ( 38.6%) | Running MAE: 1308.22
  Epoch   1/100 | Batch 115/295 ( 39.0%) | Running MAE: 1297.33
  Epoch   1/100 | Batch 116/295 ( 39.3%) | Running MAE: 1286.77
  Epoch   1/100 | Batch 117/295 ( 39.7%) | Running MAE: 1276.16
  Epoch   1/100 | Batch 118/295 ( 40.0%) | Running MAE: 1265.69
  Epoch   1/100 | Batch 119/295 ( 40.3%) | Running MAE: 1255.43
  Epoch   1/100 | Batch 120/295 ( 40.7%) | Running MAE: 1245.45
  Epoch   1/100 | Batch 121/295 ( 41.0%) | Running MAE: 1235.71
  Epoch   1/100 | Batch 122/295 ( 41.4%) | Running MAE: 1226.14
  Epoch   1/100 | Batch 123/295 ( 41.7%) | Running MAE: 1216.93
  Epoch   1/100 | Batch 124/295 ( 42.0%) | Running MAE: 1207.65
  Epoch   1/100 | Batch 125/295 ( 42.4%) | Running MAE: 1198.41
  Epoch   1/100 | Batch 126/295 ( 42.7%) | Running MAE: 1189.21
  Epoch   1/100 | Batch 127/295 ( 43.1%) | Running MAE: 1180.75
  Epoch   1/100 | Batch 128/295 ( 43.4%) | Running MAE: 1171.83
  Epoch   1/100 | Batch 129/295 ( 43.7%) | Running MAE: 1163.13
  Epoch   1/100 | Batch 130/295 ( 44.1%) | Running MAE: 1154.56
  Epoch   1/100 | Batch 131/295 ( 44.4%) | Running MAE: 1146.13
  Epoch   1/100 | Batch 132/295 ( 44.7%) | Running MAE: 1137.85
  Epoch   1/100 | Batch 133/295 ( 45.1%) | Running MAE: 1129.65
  Epoch   1/100 | Batch 134/295 ( 45.4%) | Running MAE: 1121.78
  Epoch   1/100 | Batch 135/295 ( 45.8%) | Running MAE: 1113.80
  Epoch   1/100 | Batch 136/295 ( 46.1%) | Running MAE: 1105.97
  Epoch   1/100 | Batch 137/295 ( 46.4%) | Running MAE: 1098.34
  Epoch   1/100 | Batch 138/295 ( 46.8%) | Running MAE: 1090.76
